iter	RMSE
375	0.1174856972
376	0.1174525418
377	0.1174408265
378	0.1174244749
379	0.1173984874
380	0.1173709486
381	0.1173437504
382	0.1173258253
383	0.117280164
384	0.1172531175
385	0.1172354668
386	0.1172194369
387	0.1171795709
388	0.1171610338
389	0.1171371196
390	0.1171245381
391	0.1170928126
392	0.1170737843
393	0.1170561982
394	0.1170366221
395	0.1170154899
396	0.1169884341
397	0.116970727
398	0.116957189
399	0.11693673
400	0.1169073346
401	0.1168863191
402	0.1168639156
403	0.1168537199
404	0.1168383615
405	0.1168231198
406	0.1167971463
407	0.1167483508
408	0.1167347818
409	0.1166953687
410	0.1166635796
411	0.1166035731
412	0.1165897148
413	0.1165679714
414	0.1165426757
415	0.1165251951
416	0.1165023397
417	0.1164913038
418	0.1164659214
419	0.1164492563
420	0.1164268749
421	0.1164089892
422	0.116396178
423	0.1163729173
424	0.1163566596
425	0.1163476595
426	0.1163297963
427	0.1163062743
428	0.1162906554
429	0.1162625155
430	0.1162218819
431	0.1161987969
432	0.1161536735
433	0.1161298985
434	0.1160814254
435	0.1160694766
436	0.116043558
437	0.1160183293
438	0.1159994806
439	0.1159861645
440	0.1159722886
441	0.1159511749
442	0.1159309973
443	0.1159135054
444	0.1158810698
445	0.1158643265
446	0.1158497154
447	0.1158089286
448	0.1157873936
449	0.1157609683
450	0.115741153
451	0.1157061369
452	0.1156845479
453	0.1156496561
454	0.1156346558
455	0.115614909
456	0.1155848705
457	0.1155453287
458	0.1155370027
459	0.1155241426
460	0.1155146321
461	0.1155008979
462	0.11548531
463	0.115471191
464	0.1154381643
465	0.1154144251
466	0.1154033432
467	0.115383669
468	0.115372511
469	0.1153371516
470	0.1153224389
471	0.1153059442
472	0.1152760244
473	0.1152437024
474	0.115231724
475	0.1152039761
476	0.1151845823
477	0.1151741989
478	0.1151563383
479	0.115140861
480	0.1151279717
481	0.1150970924
482	0.1150888081
483	0.1150758488
484	0.1150429763
485	0.1150227826
486	0.1150071191
487	0.1149975236
488	0.1149597363
489	0.1149456568
490	0.1149278654
491	0.1149173234
492	0.1149072221
493	0.114887565
494	0.1148776109
495	0.1148492348
496	0.1148373374
497	0.1148005217
498	0.1147902781
499	0.1147624159
